"athlete_id","player_name","team","position","headshot_url"
"5096936","Lorenzo Garcia","Alcorn State","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096936.png"
"5096937","Andrew Smith","Tennessee Tech","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5096937.png"
"5096940","Geoffery McKelton","Alcorn State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5096940.png"
"5096941","Jacorian Sewell","Alcorn State","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096941.png"
"5096947","Malachi Bailey","Arizona","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5096947.png"
"5096948","Tait Deer","Alcorn State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5096948.png"
"5096950","Rashawn Gallaspy","Alcorn State","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096950.png"
"5096958","Dylan Fischer","Idaho","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5096958.png"
"5096968","Trenton Leary","Texas Southern","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096968.png"
"5096969","Kerien Charlo","Texas Southern","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096969.png"
"5096974","Chaunzavia Lewis","Texas Southern","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096974.png"
"5096976","Nahamani Harris","Northern Arizona","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5096976.png"
"5096978","Charles George Jr.","Texas Southern","S","https://a.espncdn.com/i/headshots/college-football/players/full/5096978.png"
"5096979","Josiah Hardman","Texas Southern","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096979.png"
"5096981","Da'Veon Ford","Texas Southern","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096981.png"
"5096987","Isaiah Bogerty","Texas Southern","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096987.png"
"5096990","Brian Booker","New Mexico","DT","https://a.espncdn.com/i/headshots/college-football/players/full/5096990.png"
"5096994","Dennis Jones","Texas Southern","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5096994.png"
"5096997","Miles Thomas","Kentucky Christian","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096997.png"
"5097001","Quinton Cook","Northwestern State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5097001.png"
"5097047","Braxton Sampson","Indiana State","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5097047.png"
"5097058","Zach Palmer-Smith","UL Monroe","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5097058.png"
"5097063","Peter Godfrey","Wagner","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5097063.png"
"5097064","Ian Umansky","Wagner","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5097064.png"
"5097065","Joseph Taikina","Wagner","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5097065.png"
"5097066","Olanrewaju Adeyemi","Wagner","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5097066.png"
"5097134","Miles Mitchell","Purdue","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5097134.png"
"5097140","Mason Andrade","Wake Forest","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5097140.png"
"5097141","Kevin Check","Wake Forest","TE","https://a.espncdn.com/i/headshots/college-football/players/full/5097141.png"
"5097142","Ahmond Glass","Indiana State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5097142.png"
"5097167","Cale Doyle","Wake Forest","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5097167.png"
"5097168","Brandon Hoyle","Wake Forest","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5097168.png"
